================ Training Loss (Mon May 27 10:09:40 2019) ================
(epoch: 55, iters: 100, time: 0.308, data: 0.397) D_A: 0.646 G_A: 0.670 cycle_A: 2.017 idt_A: 1.050 D_B: 1.239 G_B: 0.318 cycle_B: 2.014 idt_B: 1.010 
(epoch: 55, iters: 200, time: 0.299, data: 0.002) D_A: 0.467 G_A: 0.921 cycle_A: 1.929 idt_A: 0.996 D_B: 0.376 G_B: 1.359 cycle_B: 1.918 idt_B: 0.873 
(epoch: 56, iters: 100, time: 0.303, data: 0.314) D_A: 0.719 G_A: 1.803 cycle_A: 2.313 idt_A: 1.049 D_B: 0.456 G_B: 1.102 cycle_B: 1.977 idt_B: 1.027 
(epoch: 56, iters: 200, time: 3.859, data: 0.003) D_A: 0.542 G_A: 0.829 cycle_A: 2.650 idt_A: 0.847 D_B: 0.243 G_B: 0.579 cycle_B: 1.803 idt_B: 1.169 
(epoch: 57, iters: 100, time: 0.304, data: 0.288) D_A: 0.283 G_A: 1.297 cycle_A: 2.592 idt_A: 0.821 D_B: 0.272 G_B: 0.623 cycle_B: 1.903 idt_B: 1.034 
(epoch: 57, iters: 200, time: 0.305, data: 0.003) D_A: 0.275 G_A: 0.777 cycle_A: 2.934 idt_A: 0.529 D_B: 0.634 G_B: 0.396 cycle_B: 1.009 idt_B: 1.177 
(epoch: 58, iters: 100, time: 0.304, data: 0.293) D_A: 0.435 G_A: 1.737 cycle_A: 1.305 idt_A: 0.780 D_B: 1.006 G_B: 0.435 cycle_B: 1.909 idt_B: 0.833 
(epoch: 58, iters: 200, time: 3.706, data: 0.002) D_A: 0.730 G_A: 0.590 cycle_A: 1.588 idt_A: 0.697 D_B: 0.679 G_B: 0.783 cycle_B: 1.551 idt_B: 0.568 
(epoch: 59, iters: 100, time: 0.304, data: 0.298) D_A: 0.374 G_A: 0.950 cycle_A: 2.217 idt_A: 0.571 D_B: 0.144 G_B: 1.428 cycle_B: 1.199 idt_B: 1.188 
(epoch: 59, iters: 200, time: 0.303, data: 0.002) D_A: 0.565 G_A: 1.124 cycle_A: 2.070 idt_A: 0.848 D_B: 0.205 G_B: 0.145 cycle_B: 1.426 idt_B: 1.013 
(epoch: 60, iters: 100, time: 0.306, data: 0.273) D_A: 0.184 G_A: 1.828 cycle_A: 1.885 idt_A: 0.768 D_B: 0.607 G_B: 0.457 cycle_B: 1.008 idt_B: 0.760 
(epoch: 60, iters: 200, time: 3.443, data: 0.002) D_A: 0.366 G_A: 0.999 cycle_A: 2.339 idt_A: 0.872 D_B: 0.308 G_B: 1.130 cycle_B: 2.145 idt_B: 1.004 
